job_id,category,skill,validation
0,Data Analytics,Data Analysis,1.0
0,Data Analytics,A/B Testing,-1.0
0,Data Analytics,Data Interpretation,1.0
0,Data Analytics,Data Analytics,0.0
0,Data Analytics,Google Analytics,-1.0
0,Data Analytics,Data Visualization,1.0
1,"Data EntrySkills:Data Entry,     Accuracy Verification,     Database,     Microsoft Excel,     Email Communication,     Gaming,     Critical Thinking ",Data Entry,-1.0
1,"Data EntrySkills:Data Entry,     Accuracy Verification,     Database,     Microsoft Excel,     Email Communication,     Gaming,     Critical Thinking ",Accuracy Verification,-1.0
1,"Data EntrySkills:Data Entry,     Accuracy Verification,     Database,     Microsoft Excel,     Email Communication,     Gaming,     Critical Thinking ",Database,-1.0
1,"Data EntrySkills:Data Entry,     Accuracy Verification,     Database,     Microsoft Excel,     Email Communication,     Gaming,     Critical Thinking ",Microsoft Excel,0.0
1,"Data EntrySkills:Data Entry,     Accuracy Verification,     Database,     Microsoft Excel,     Email Communication,     Gaming,     Critical Thinking ",Email Communication,-1.0
1,"Data EntrySkills:Data Entry,     Accuracy Verification,     Database,     Microsoft Excel,     Email Communication,     Gaming,     Critical Thinking ",Gaming,-1.0
1,"Data EntrySkills:Data Entry,     Accuracy Verification,     Database,     Microsoft Excel,     Email Communication,     Gaming,     Critical Thinking ",Critical Thinking Skills,-1.0
2,Data Analytics,Data Analytics,0.0
2,Data Analytics,Data Visualization,1.0
2,Data Analytics,English,-1.0
3,Data Analytics,Data Modeling,-1.0
3,Data Analytics,Data Entry,-1.0
4,Data Analytics,Microsoft Excel,0.0
4,Data Analytics,R,0.0
4,Data Analytics,Data Entry,-1.0
4,Data Analytics,Researcher,-1.0
4,Data Analytics,Statistics,0.0
4,Data Analytics,Data Mining,0.0
4,Data Analytics,Data Analysis,1.0
4,Data Analytics,Python,1.0
4,Data Analytics,Financial Analysis,-1.0
5,Data Extraction,Data Mining,0.0
5,Data Extraction,Market Research,-1.0
5,Data Extraction,Data Analysis,1.0
5,Data Extraction,Data Entry,-1.0
5,Data Extraction,Data Visualization,1.0
5,Data Extraction,Data Scraping,0.0
5,Data Extraction,Microsoft Excel,0.0
6,Data Analytics,SQL,0.0
6,Data Analytics,Product Analytics,-1.0
6,Data Analytics,Data Analysis,1.0
6,Data Analytics,Microsoft Excel,0.0
6,Data Analytics,Python,1.0
6,Data Analytics,Amazon Web Services,-1.0
6,Data Analytics,Laravel,-1.0
6,Data Analytics,Financial Analysis,-1.0
6,Data Analytics,Data Visualization,1.0
6,Data Analytics,React,-1.0
7,Data Analytics,SQL,0.0
7,Data Analytics,Oracle,-1.0
7,Data Analytics,Data Analysis,1.0
8,Other Digital Marketing,Facebook Ads Manager,-1.0
9,Data Engineering,Database Design,-1.0
10,Healthcare Project Management,Data Entry,-1.0
10,Healthcare Project Management,Financial Analysis,-1.0
10,Healthcare Project Management,Data Analytics,0.0
10,Healthcare Project Management,Microsoft Power BI,-1.0
11,Data Analytics,Data Visualization,1.0
11,Data Analytics,Researcher,-1.0
11,Data Analytics,Blockchain,-1.0
12,Data Analytics,Google Sheets,1.0
12,Data Analytics,Data Analysis,1.0
12,Data Analytics,Business Intelligence,1.0
12,Data Analytics,Fathom Applications Fathom,-1.0
12,Data Analytics,Microsoft Excel,0.0
12,Data Analytics,Google Analytics,-1.0
12,Data Analytics,Researcher,-1.0
12,Data Analytics,Financial Analysis,-1.0
12,Data Analytics,Business Analysis,0.0
13,Data Analytics,Growth Analytics,-1.0
13,Data Analytics,Operations Analytics,-1.0
13,Data Analytics,Microsoft Excel,0.0
13,Data Analytics,Data Entry,-1.0
13,Data Analytics,Data Analysis,1.0
14,General Research Services,Internet Researcher,-1.0
14,General Research Services,Data Entry,-1.0
14,General Research Services,Cold Calling,-1.0
14,General Research Services,Cold Email,-1.0
14,General Research Services,Data Analysis,1.0
14,General Research Services,Data Analytics,0.0
14,General Research Services,Typing,-1.0
14,General Research Services,Microsoft Excel,0.0
14,General Research Services,B2B Lead Generation,-1.0
14,General Research Services,B2B Marketing,-1.0
15,Machine Learning,ChatGPT,-1.0
15,Machine Learning,GPT-3,-1.0
16,Business Analysis & Strategy,Business Process Modeling,-1.0
16,Business Analysis & Strategy,Business Analysis,0.0
16,Business Analysis & Strategy,Competitive Analysis,-1.0
16,Business Analysis & Strategy,Data Analysis,1.0
16,Business Analysis & Strategy,Project Management,-1.0
16,Business Analysis & Strategy,Data Visualization,1.0
16,Business Analysis & Strategy,Google Analytics,-1.0
16,Business Analysis & Strategy,Market Research,-1.0
16,Business Analysis & Strategy,Digital Product Designer,-1.0
17,Data Visualization,Data Analysis,1.0
17,Data Visualization,Data Visualization,1.0
17,Data Visualization,Data Modeling,-1.0
17,Data Visualization,Microsoft SQL Server Reporting Services,-1.0
17,Data Visualization,Business Intelligence,1.0
18,Data Analytics,Data Analysis,1.0
18,Data Analytics,Qualitative Research,-1.0
18,Data Analytics,Researcher,-1.0
18,Data Analytics,NVivo,-1.0
19,Data Visualization,Data Analysis,1.0
19,Data Visualization,Data Visualization,1.0
19,Data Visualization,Data Modeling,-1.0
19,Data Visualization,Microsoft SQL Server Reporting Services,-1.0
19,Data Visualization,Business Intelligence,1.0
20,Data Analytics,Dashboard,1.0
20,Data Analytics,A/B Testing,-1.0
20,Data Analytics,Microsoft Excel,0.0
20,Data Analytics,Data Analysis,1.0
20,Data Analytics,Google Sheets,1.0
20,Data Analytics,Google Data Studio,-1.0
20,Data Analytics,Visual Basic for Applications,-1.0
20,Data Analytics,Google Docs,-1.0
20,Data Analytics,Data Visualization,1.0
20,Data Analytics,Spreadsheet Software,-1.0
21,Data Analytics,Data Analysis,1.0
21,Data Analytics,Data Interpretation,1.0
21,Data Analytics,Hypothesis Testing,-1.0
21,Data Analytics,Hotjar Expert,-1.0
22,Data Analytics,SQL,0.0
22,Data Analytics,Data Analysis,1.0
22,Data Analytics,Metabase,-1.0
23,Data Analytics,Microsoft Excel,0.0
23,Data Analytics,Financial Analysis,-1.0
23,Data Analytics,Data Entry,-1.0
23,Data Analytics,Financial Modeling,-1.0
23,Data Analytics,Financial Projection,-1.0
23,Data Analytics,Business Modeling,-1.0
23,Data Analytics,Business Analysis,0.0
24,Data Mining,Data Mining,0.0
24,Data Mining,Data Scraping,0.0
24,Data Mining,Researcher,-1.0
24,Data Mining,Lead Generation,-1.0
24,Data Mining,LinkedIn Development,-1.0
24,Data Mining,Prospect List,-1.0
24,Data Mining,Data Extraction,-1.0
25,General Research Services,Virtual Assistant,-1.0
25,General Research Services,Administrative Support,-1.0
25,General Research Services,Business Analysis,0.0
26,Data Analytics,Marketing Analytics,-1.0
26,Data Analytics,R,0.0
26,Data Analytics,Data Analysis,1.0
26,Data Analytics,Data Science,0.0
26,Data Analytics,Data Visualization,1.0
26,Data Analytics,Microsoft Excel,0.0
26,Data Analytics,Python,1.0
26,Data Analytics,Statistics,0.0
26,Data Analytics,Data Mining,0.0
26,Data Analytics,Data Modeling,-1.0
27,Data Visualization,Presentations,-1.0
27,Data Visualization,Data Visualization,1.0
27,Data Visualization,Data Analysis,1.0
28,Data Analytics,SQL,0.0
28,Data Analytics,Machine Learning,-1.0
28,Data Analytics,Big Data,-1.0
28,Data Analytics,Python,1.0
28,Data Analytics,Data Analysis,1.0
29,Data Analytics,Data Analysis,1.0
29,Data Analytics,Data Interpretation,1.0
29,Data Analytics,Customer Service Analytics,-1.0
29,Data Analytics,Operations Analytics,-1.0
29,Data Analytics,Dashboard,1.0
29,Data Analytics,Business Intelligence,1.0
29,Data Analytics,Data Analytics,0.0
29,Data Analytics,HubSpot,-1.0
29,Data Analytics,Microsoft Excel,0.0
29,Data Analytics,Data Visualization,1.0
30,Data Analytics,Python,1.0
30,Data Analytics,MySQL,-1.0
30,Data Analytics,Data Analysis,1.0
31,Paralegal Services,Researcher,-1.0
31,Paralegal Services,Legal Research,-1.0
31,Paralegal Services,Legal,-1.0
31,Paralegal Services,Legal Consulting,-1.0
31,Paralegal Services,Legal Assistance,-1.0
31,Paralegal Services,Data Analysis,1.0
31,Paralegal Services,Business Analysis,0.0
32,Full Stack Development,Web Application,-1.0
32,Full Stack Development,Adobe Photoshop,-1.0
32,Full Stack Development,Java,-1.0
32,Full Stack Development,SQLite,-1.0
32,Full Stack Development,Apache HTTP Server,-1.0
32,Full Stack Development,Business with 1-9 Employees,-1.0
33,Data Analytics,Google Analytics,-1.0
33,Data Analytics,Marketing Analytics,-1.0
33,Data Analytics,Sales Analytics,-1.0
33,Data Analytics,Dashboard,1.0
33,Data Analytics,Report,-1.0
33,Data Analytics,A/B Testing,-1.0
33,Data Analytics,Funnel Testing,-1.0
33,Data Analytics,Data Analysis,1.0
33,Data Analytics,Statistics,0.0
34,Data Analytics,Google Analytics,-1.0
34,Data Analytics,Data Visualization,1.0
34,Data Analytics,Data Analytics,0.0
34,Data Analytics,Data Interpretation,1.0
34,Data Analytics,Data Analysis,1.0
35,Business Analysis & Strategy,Microsoft Excel,0.0
35,Business Analysis & Strategy,Business Intelligence,1.0
35,Business Analysis & Strategy,Financial Analysis,-1.0
35,Business Analysis & Strategy,Business Analysis,0.0
35,Business Analysis & Strategy,SaaS,-1.0
36,Data Analytics,R,0.0
37,Data Analytics,Python,1.0
37,Data Analytics,R,0.0
38,Business Analysis & Strategy,Microsoft Excel,0.0
38,Business Analysis & Strategy,Business Intelligence,1.0
38,Business Analysis & Strategy,Financial Analysis,-1.0
38,Business Analysis & Strategy,Business Analysis,0.0
38,Business Analysis & Strategy,SaaS,-1.0
39,Data Analytics,Data Modeling,-1.0
39,Data Analytics,Data Analysis,1.0
39,Data Analytics,Microsoft Excel,0.0
39,Data Analytics,Microsoft Power BI,-1.0
39,Data Analytics,Data Visualization,1.0
39,Data Analytics,Business Intelligence,1.0
40,Data Processing,Data Annotation,-1.0
40,Data Processing,Data Segmentation,-1.0
40,Data Processing,Data Analysis,1.0
40,Data Processing,English,-1.0
40,Data Processing,FinTech,-1.0
41,Data Analytics,Microsoft Excel,0.0
41,Data Analytics,Business Intelligence,1.0
41,Data Analytics,Data Analysis,1.0
41,Data Analytics,Data Visualization,1.0
41,Data Analytics,Jira,-1.0
41,Data Analytics,Git,-1.0
41,Data Analytics,D3.js,-1.0
41,Data Analytics,Google Charts,-1.0
42,Data Analytics,Marketing Analytics,-1.0
42,Data Analytics,Data Analysis,1.0
42,Data Analytics,Report,-1.0
42,Data Analytics,Dashboard,1.0
42,Data Analytics,Query Development,-1.0
42,Data Analytics,Data Visualization,1.0
42,Data Analytics,Business Intelligence,1.0
42,Data Analytics,Data Interpretation,1.0
42,Data Analytics,Data Entry,-1.0
42,Data Analytics,Researcher,-1.0
43,"Recruiting & Talent SourcingSkills:LinkedIn Recruiting,     Data Entry,     Accuracy Verification,     Database,     Microsoft Excel,     Email Communication,     Gaming,     Critical Thinking ",LinkedIn Recruiting,-1.0
43,"Recruiting & Talent SourcingSkills:LinkedIn Recruiting,     Data Entry,     Accuracy Verification,     Database,     Microsoft Excel,     Email Communication,     Gaming,     Critical Thinking ",Data Entry,-1.0
43,"Recruiting & Talent SourcingSkills:LinkedIn Recruiting,     Data Entry,     Accuracy Verification,     Database,     Microsoft Excel,     Email Communication,     Gaming,     Critical Thinking ",Accuracy Verification,-1.0
43,"Recruiting & Talent SourcingSkills:LinkedIn Recruiting,     Data Entry,     Accuracy Verification,     Database,     Microsoft Excel,     Email Communication,     Gaming,     Critical Thinking ",Database,-1.0
43,"Recruiting & Talent SourcingSkills:LinkedIn Recruiting,     Data Entry,     Accuracy Verification,     Database,     Microsoft Excel,     Email Communication,     Gaming,     Critical Thinking ",Microsoft Excel,0.0
43,"Recruiting & Talent SourcingSkills:LinkedIn Recruiting,     Data Entry,     Accuracy Verification,     Database,     Microsoft Excel,     Email Communication,     Gaming,     Critical Thinking ",Email Communication,-1.0
43,"Recruiting & Talent SourcingSkills:LinkedIn Recruiting,     Data Entry,     Accuracy Verification,     Database,     Microsoft Excel,     Email Communication,     Gaming,     Critical Thinking ",Gaming,-1.0
43,"Recruiting & Talent SourcingSkills:LinkedIn Recruiting,     Data Entry,     Accuracy Verification,     Database,     Microsoft Excel,     Email Communication,     Gaming,     Critical Thinking ",Critical Thinking Skills,-1.0
44,Data Analytics,Google Sheets,1.0
44,Data Analytics,SQL,0.0
45,Database Administration,Database Management,-1.0
45,Database Administration,Microsoft Excel,0.0
45,Database Administration,CRM Software,-1.0
45,Database Administration,Microsoft Word,-1.0
45,Database Administration,Portfolio Management,-1.0
45,Database Administration,Data Entry,-1.0
45,Database Administration,Researcher,-1.0
45,Database Administration,Accuracy Verification,-1.0
46,Data Analytics,Data Analytics,0.0
46,Data Analytics,Data Visualization,1.0
46,Data Analytics,Data Interpretation,1.0
46,Data Analytics,English,-1.0
47,Data Analytics,Data Analysis,1.0
47,Data Analytics,Microsoft Power BI,-1.0
47,Data Analytics,Tableau,-1.0
47,Data Analytics,Microsoft Excel,0.0
48,General Virtual Assistance,Microsoft Excel,0.0
48,General Virtual Assistance,Data Analysis,1.0
48,General Virtual Assistance,Real Estate Appraisal,-1.0
48,General Virtual Assistance,Data Analytics,0.0
49,Data Analytics,Report,-1.0
49,Data Analytics,Dashboard,1.0
49,Data Analytics,Data Analytics,0.0
49,Data Analytics,Python,1.0
49,Data Analytics,Data Analysis,1.0
49,Data Analytics,Statistics,0.0
49,Data Analytics,Jupyter,-1.0
50,Data Engineering,Data Engineering,-1.0
50,Data Engineering,Cognos,-1.0
51,Data Analytics,Google Analytics,-1.0
51,Data Analytics,Data Visualization,1.0
51,Data Analytics,Data Analysis,1.0
52,Data Analytics,Data Analysis,1.0
52,Data Analytics,Python,1.0
52,Data Analytics,Data Visualization,1.0
53,Data Analytics,Python,1.0
53,Data Analytics,Data Analysis,1.0
53,Data Analytics,Data Science,0.0
53,Data Analytics,Statistics,0.0
53,Data Analytics,Quantitative Analysis,-1.0
53,Data Analytics,Data Visualization,1.0
53,Data Analytics,Time Series Analysis,-1.0
53,Data Analytics,Quantitative Finance,-1.0
53,Data Analytics,NumPy,-1.0
53,Data Analytics,Jupyter,-1.0
54,Data Analytics,Python,1.0
54,Data Analytics,Data Visualization,1.0
54,Data Analytics,Data Analysis,1.0
54,Data Analytics,Data Science,0.0
55,Data Analytics,Dashboard,1.0
55,Data Analytics,Report,-1.0
55,Data Analytics,Python,1.0
55,Data Analytics,Amazon Redshift,-1.0
55,Data Analytics,SQL,0.0
56,Financial Analysis & Modeling,Microsoft Excel,0.0
56,Financial Analysis & Modeling,Financial Modeling,-1.0
56,Financial Analysis & Modeling,Financial Analysis,-1.0
56,Financial Analysis & Modeling,Accounting,-1.0
56,Financial Analysis & Modeling,Bloomberg Terminal,-1.0
57,Data Analytics,Microsoft Power BI,-1.0
57,Data Analytics,Data Analysis,1.0
57,Data Analytics,Data Visualization,1.0
57,Data Analytics,Machine Learning,-1.0
57,Data Analytics,Salesforce,-1.0
57,Data Analytics,SAP,-1.0
57,Data Analytics,Finance,-1.0
57,Data Analytics,R,0.0
57,Data Analytics,Python,1.0
57,Data Analytics,Machine Learning Model,-1.0
58,Data Analytics,Microsoft Power BI,-1.0
58,Data Analytics,Data Analysis,1.0
58,Data Analytics,Data Visualization,1.0
58,Data Analytics,Machine Learning,-1.0
58,Data Analytics,Salesforce,-1.0
58,Data Analytics,SAP,-1.0
58,Data Analytics,Finance,-1.0
58,Data Analytics,R,0.0
58,Data Analytics,Python,1.0
58,Data Analytics,Machine Learning Model,-1.0
59,Data Analytics,Google Analytics,-1.0
59,Data Analytics,Google Tag Manager,-1.0
59,Data Analytics,Customer Service Analytics,-1.0
59,Data Analytics,Sales Analytics,-1.0
59,Data Analytics,Marketing Analytics,-1.0
59,Data Analytics,Google Ad Manager,-1.0
59,Data Analytics,Google Ads,-1.0
59,Data Analytics,Yandex.Metrica,-1.0
59,Data Analytics,English,-1.0
60,Machine Learning,Machine Learning Model,-1.0
60,Machine Learning,Python,1.0
60,Machine Learning,Data Analysis,1.0
60,Machine Learning,Machine Learning,-1.0
61,Data Analytics,Data Analysis,1.0
61,Data Analytics,Data Visualization,1.0
61,Data Analytics,Data Analytics,0.0
61,Data Analytics,Google Analytics,-1.0
62,Data Analytics,Microsoft Excel,0.0
62,Data Analytics,Data Analysis,1.0
62,Data Analytics,Researcher,-1.0
62,Data Analytics,Data Visualization,1.0
62,Data Analytics,Business Intelligence,1.0
62,Data Analytics,Data Science,0.0
62,Data Analytics,Market Analysis,-1.0
62,Data Analytics,Data Mining,0.0
63,Data Analytics,Medical Billing & Coding,-1.0
63,Data Analytics,Microsoft Excel,0.0
63,Data Analytics,Data Analysis,1.0
63,Data Analytics,Data Mining,0.0
63,Data Analytics,Data Entry,-1.0
64,Scripting & Automation,Automation,-1.0
64,Scripting & Automation,Dashboard,1.0
64,Scripting & Automation,Data Analysis,1.0
65,Data Mining,Data Science,0.0
65,Data Mining,Data Mining,0.0
66,Data Analytics,Data Analysis,1.0
66,Data Analytics,Customer Service Analytics,-1.0
66,Data Analytics,Product Analytics,-1.0
66,Data Analytics,Human Resources Analytics,-1.0
66,Data Analytics,Operations Analytics,-1.0
66,Data Analytics,Sales Analytics,-1.0
66,Data Analytics,Google Analytics,-1.0
67,Data Analytics,Operations Analytics,-1.0
67,Data Analytics,Marketing Analytics,-1.0
67,Data Analytics,Customer Service Analytics,-1.0
67,Data Analytics,Product Analytics,-1.0
67,Data Analytics,Sales Analytics,-1.0
67,Data Analytics,Data Analysis,1.0
67,Data Analytics,Google Analytics,-1.0
67,Data Analytics,Data Visualization,1.0
67,Data Analytics,Data Analytics,0.0
67,Data Analytics,Data Science,0.0
68,Data Analytics,Data Modeling,-1.0
68,Data Analytics,Data Entry,-1.0
69,Data Analytics,Data Visualization,1.0
69,Data Analytics,Data Interpretation,1.0
69,Data Analytics,Business Intelligence,1.0
69,Data Analytics,Machine Learning,-1.0
69,Data Analytics,Statistical Analysis,-1.0
69,Data Analytics,Blockchain,-1.0
69,Data Analytics,Tokenomics,-1.0
69,Data Analytics,Valuation,-1.0
70,Data Analytics,Data Analysis,1.0
70,Data Analytics,Operations Analytics,-1.0
70,Data Analytics,Growth Analytics,-1.0
70,Data Analytics,Customer Service Analytics,-1.0
70,Data Analytics,Product Analytics,-1.0
70,Data Analytics,Sales Analytics,-1.0
70,Data Analytics,Google Analytics,-1.0
70,Data Analytics,Data Analytics,0.0
